Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,van de Beek,7.0,7.0,Man Utd,0,0,27,1.64,28,1.481,27,1.374,27,1.441,31,1.482,30,1.518,31,1.554
D,Cash,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,1,0.028,0,0,1,0.036,2,0.05
M,Murphy,5.0,5.0,Newcastle,9,0.414,10,0.48,9,0.37,10,0.501,9,0.371,13,0.538,9,0.408,10,0.441
D,Castagne,5.5,5.5,Leicester,68,2.967,66,3.331,59,1.013,51,2.375,39,1.912,31,0.956,37,1.511,34,1.407
D,Kipre,4.5,4.5,West Brom,1,0.029,1,0.024,2,0.04,3,0.079,3,0.105,4,0.116,5,0.166,6,0.146
M,Havertz,8.5,8.5,Chelsea,77,5.25,73,3.978,66,5.122,58,4.629,55,4.02,53,2.955,55,4.023,55,3.996
M,Ceballos,5.0,5.0,Arsenal,61,2.358,57,2.234,60,1.779,56,2.127,55,1.613,57,2.02,57,1.773,58,2.31
M,Allan,5.5,5.5,Everton,53,1.569,52,1.875,51,1.712,47,1.608,48,1.396,45,1.452,47,1.56,45,1.364
G,Walton,4.0,4.0,Brighton,0,0,0,0,1,0.036,2,0.076,2,0.083,2,0.084,2,0.073,2,0.087
F,Fabio Silva,5.5,5.5,Wolves,8,0.426,10,0.459,12,0.685,13,0.818,13,0.704,15,0.86,14,0.84,16,0.806
D,Marçal,5.0,5.0,Wolves,35,1.62,39,0.911,35,1.537,37,2.053,35,1.514,38,1.981,42,2.228,39,1.424
F,Wilson,6.5,6.5,Newcastle,80,3.945,77,3.94,78,3.227,75,4.053,75,3.154,74,3.099,72,3.494,69,3.264
M,Fraser,6.0,6.0,Newcastle,63,3.078,56,2.919,61,2.55,60,3.258,60,2.518,56,2.393,50,2.441,56,2.608
M,Rodríguez,7.5,7.5,Everton,68,3.386,65,5.052,62,4.041,63,4.199,62,2.977,62,3.684,62,3.836,61,3.206
D,Ampadu,4.5,4.5,Sheffield Utd,1,0.035,3,0.109,3,0.116,5,0.131,4,0.182,5,0.092,6,0.108,6,0.138
D,Bogle,4.5,4.5,Sheffield Utd,2,0.072,2,0.075,4,0.16,4,0.108,5,0.235,5,0.094,6,0.111,6,0.141
D,Lowe,4.5,4.5,Sheffield Utd,1,0.034,2,0.07,4,0.148,3,0.076,3,0.13,5,0.09,8,0.138,8,0.177
